ID,COUNT AREA,MONTH,DAY,YEAR,START TIME,END TIME,OBSERVERS,AWPE,GBHE,GREG,SNEG,BCNH,WTKI,NOHA,RTHA,RSHA,RLHA,SSHA,COHA,AMKE,MERL,PEFA,BBPL,PAGP,AMGP,LEGP,SNPL,SEPL,KILL,BLOY,AMAV,GRYE,LEYE,YELL,WILL,WATA,SPSA,WHIM,LBCU,MAGO,RUTU,BLTU,SURF,REKN,SAND,WESA,LESA,LWSA,BASA,DUNL,PEEP,SBDO,LBDO,DOSP,COSN,RNPH,REPH,PHAL,FEHA,OSPR,NOTES & OTHER SPECIES,PROOFED,ENTERED BY,WIPH,BAEA,SSCOHA,GOEA,SEOW,GRHE,AMBI,PESA,SESA,RUFF
11,BRB,12,7,1989,1530,1630,B.BULLICK,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,53,9,0,0,4,0,2,0,0,0,0,0,176,0,0,0,0,334,3,0,0,12,239,0,2,0,0,335,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
12,CGP,12,7,1989,1530,1700,"N.GALLAGHER, F.MACLISE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,45,0,0,0,0,0,6,0,2,0,0,3,0,3,0,0,57,23,44,0,0,299,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,
13,INV,12,7,1989,1620,1700,J.MUELLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
14,MMG,12,7,1989,1530,1645,"F.GUEST, J.THIESSEN",0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,28,0,0,0,1,0,36,0,0,0,0,7,0,0,0,0,18,105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
15,TPT,12,7,1989,1530,1630,"G.FLETCHER, A.SPENCER",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,437,0,12,0,0,28,0,3,0,0,179,533,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
16,WCD,12,7,1989,1540,1640,J.KELLY,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,220,200,1000,0,0,3100,300,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
17,WHG,12,7,1989,1530,1600,J.MUELLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,HUNTERS IN AREA,,,,,,,,,,,,
18,WPT,12,7,1989,1530,1620,B.BAEZ,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,56,0,0,0,0,0,0,0,0,2,0,0,69,0,0,0,0,36,0,0,0,0,40,666,333,0,0,8000,0,0,0,64,0,0,0,0,0,0,,,,,,,,,,,,,
19,BIV,12,19,1989,1415,1600,"T. NORDBYE, S. ALLEN",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,32,0,0,0,0,0,0,33,0,0,7,0,27,0,0,0,0,79,0,0,2470,0,4600,24,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
20,BRB,12,19,1989,1415,1515,R. STALLCUP,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,133,5,0,0,2,0,6,0,0,0,0,0,165,0,0,0,0,574,0,0,0,19,179,0,3,0,0,94,0,0,2,0,3,0,0,0,0,0,WILL & MAGOs ARE HITIDING. KNOT & PLOVERS & 1/2 SMALL WADERS LEFT AREA,,,,,,,,,,,,
21,CGP,12,19,1989,1415,1530,"B. BULLICK, J. THIESSEN",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,5,0,2,0,0,3,1,1,0,0,7,0,16,0,0,56,0,0,0,5,1,0,0,0,0,0,,,,,,,,,,,,,
22,INV,12,19,1989,1507,1645,"N. GALLAGHER, S. ENGEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,0,0,0,25,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
23,MMG,12,19,1989,1415,1545,"C.KUELPER, J.KELLY, E.SABINE",0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,14,0,0,1,0,0,109,0,0,0,0,24,0,0,0,0,63,2,148,0,0,31,0,0,0,0,0,0,0,0,0,0,800 DUNL FLEW FROM WPT INTO BIV BEHIND TERRY & SARAH AT ABOUT 1500 HR,,,,,,,,,,,,
24,TPT,12,19,1989,1415,1535,"A. SPENCER, J. TEMKO",0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,39,0,0,8,0,392,0,0,0,0,97,475,85,0,0,338,0,0,0,0,0,0,0,0,0,0,WHIM IN FRESH WATER MARSH.,,,,,,,,,,,,
25,WCD,12,19,1989,1415,1515,D. WIMPFHEIMER,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,389,13,0,0,0,30,36,620,60,0,4770,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
26,WHG,12,19,1989,1415,1427,"N. GALLAGHER, S. ENGEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,22,0,0,0,0,22,0,13,0,0,12,0,0,0,14,0,0,0,0,0,0,NO FLOCK MOVEMENTS,,,,,,,,,,,,
27,WPT,12,19,1989,1415,1515,"D. WILLIAMS, T. WALTERS",0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,57,0,0,0,0,1,1,0,0,5,0,0,60,0,0,0,0,44,0,0,0,0,4,160,130,0,0,1110,0,82,1,0,0,0,0,0,0,0,SBDO ?,,,,,,,,,,,,
28,BRB,1,4,1990,1530,1630,RICH STALLCUP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,0,32,1,8,0,0,0,0,0,210,0,0,0,0,285,5,0,0,18,178,0,1,0,0,365,0,0,0,0,12,0,0,0,0,0,SNOWY PLOVER COLOUR BANDS CHECK NOTES.,,,,,,,,,,,,
29,TPT,1,4,1990,1535,1645,J.KELLY,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1,0,446,6,2,0,0,81,265,78,0,0,184,0,0,0,0,0,0,0,0,0,0,250 WATER PIPITS DRIPED INTO MARSH @ 1650 PM,,,,,,,,,,,,
30,WCD,1,4,1990,1530,1700,J.EVENS,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,2,0,0,6,0,0,52,0,0,0,0,430,0,0,0,0,80,1600,200,1000,0,2000,0,0,0,22,0,0,0,0,0,1,,,,,,,,,,,,,
31,BIV,1,30,1990,1240,1345,"T. NORBYE, S. ALLEN",0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,13,0,0,0,0,20,0,0,0,1,0,0,50,0,0,0,0,149,0,0,0,0,0,2700,900,0,0,900,0,0,0,0,0,0,0,0,0,0,ALL SPECIES LEFT WITH INCOMING TIDES,,,,,,,,,,,,
32,BRB,1,30,1990,1425,1530,RICH STALLCUP,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,6,0,0,0,0,0,66,0,0,0,0,234,0,2,0,18,74,24,6,0,0,47,0,0,0,0,12,0,0,0,0,0,1820 GULL SPP.,,,,,,,,,,,,
33,CGP,1,30,1990,1245,1430,"HUGH BAIN, FLORA MACLISE",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,7,45,0,0,37,0,5,0,0,26,0,0,0,0,0,0,0,0,0,0,1435 ABOUT 1200 CAME ON TO CGP BEACH CHECK FOR MORE NOTES,,,,,,,,,,,,
34,INV,1,30,1990,1315,1345,JOHN KELLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
35,MMG,1,30,1990,1245,1420,"GAY BISHOP, CAROL KUELPER",0,1,2,4,0,1,1,2,0,0,0,0,1,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,1,12,0,0,5,0,13,0,0,83,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,
36,TPT,1,30,1990,1240,1340,"GRANT FLETCHER, J.THiessen",0,19,0,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,95,0,5,0,0,81,240,0,0,0,170,0,0,0,0,0,0,0,0,0,0,NOTES BUT CAN'T READ THEM,,,,,,,,,,,,
37,WCD,1,30,1990,1247,1335,DAVID WIMPFHEIMER,0,1,1,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,156,4,3,0,0,46,66,205,150,0,1180,0,0,0,0,0,0,0,0,0,0,3600 GULL SPP.,,,,,,,,,,,,
38,WHG,1,30,1990,1245,1250,JOHN KELLY,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,10,0,0,0,0,13,0,36,0,0,0,0,0,0,15,0,0,0,0,0,0,NOT SURE ABOUT DOWI SP. MIGHT HAVE BEEN SBDO,,,,,,,,,,,,
39,WPT,1,30,1990,1245,1320,"BOB BAEZ, TANIS WALTERS",0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,6,0,0,0,1,0,0,150,0,0,0,0,124,0,0,0,0,40,0,0,0,0,250,250,0,0,7,0,0,0,0,0,0,"40 SANDERLINGS LEFT AT 1245 DIRECTION UNKNOWN, DUNLIN LEFT AN 1255",,,,,,,,,,,,
40,BRB,2,12,1990,940,1145,RICH STALLCUP,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,94,7,0,0,0,0,10,0,0,0,0,0,89,0,0,0,0,560,0,1,0,18,158,1,9,0,0,85,0,0,0,0,10,0,0,0,0,0,"7 LGPO, 1450 GULLSPP., 33 FOTE, 1 BLKI (LOOK AT NOTES FOR MORE INFO.)",,,,,,,,,,,,
41,TPT,2,12,1990,1000,1100,JOHN KELLY,0,15,0,1,0,0,0,2,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,124,2,18,0,0,60,150,100,0,0,250,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
42,WCD,2,12,1990,1002,1040,DAVID WIMPFHEIMER,0,1,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,192,0,0,0,0,219,210,950,230,0,1090,0,0,0,0,0,0,0,0,0,1,AT 1045 80% OF PEEPS FLEW IN THE DIRECTION OF THE N DELTA CONT,,,,,,,,,,,,
43,BIV,2,15,1990,1500,1515,JOHN KELLY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,32,0,0,0,0,200,1000,400,0,0,600,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
44,BRB,2,15,1990,1345,1530,RICH STALLCUP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,6,0,0,0,0,10,0,0,0,0,0,29,0,0,0,0,215,0,0,0,0,170,0,1,0,0,52,0,0,0,0,10,0,0,0,0,0,"6 LGPL, 25 FOTE, 2750 GULL SPP.",,,,,,,,,,,,
45,CGP,2,15,1990,1400,1530,"N.GALLAGHER, F.MACLISE",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,9,0,0,0,0,0,6,0,2,0,0,9,26,123,0,0,112,0,29,1,0,58,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
46,INV,2,15,1990,1435,1500,JOHN KELLY,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WILL & MAGO WERE NORTH OF WPT,,,,,,,,,,,,
47,MMG,2,15,1990,1400,1510,"ELLEN SABINE, CAROL KUELPER",0,1,3,2,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,8,0,0,0,0,0,47,0,0,0,0,21,0,3,0,0,4,0,187,0,0,84,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
48,TPT,2,15,1990,1400,1525,"G.& V. FLETCHER, J.THEISEN",0,0,0,2,0,0,3,2,0,0,0,0,0,0,0,54,0,0,0,0,0,1,0,0,0,0,0,46,0,0,0,0,350,0,0,0,0,213,525,202,35,0,95,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
49,WCD,2,15,1990,1400,1445,DAVID WIMPFHEIMER,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,244,0,0,0,0,104,250,480,170,0,510,100,0,0,0,0,0,0,0,0,0,LOTS OF NOTES NOT SURE WHICH ARE MOST IMPORTANT.,,,,,,,,,,,,
50,WHG,2,15,1990,1400,1405,JOHN KELLY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,0,0,0,0,33,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,LESA 180 AT 1345 AND 350 AT 1356,,,,,,,,,,,,
51,WPT,2,15,1990,1400,1500,RON MACDONALD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,8,0,0,0,0,5,27,9,0,0,630,0,0,0,0,0,0,0,0,0,0,12 BUFFELHEADS,,,,,,,,,,,,
52,BIV,3,1,1990,1315,1415,BOB BAEZ TERRY NORDBYE,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,2,1,0,0,84,0,0,0,0,66,0,0,0,0,70,200,100,0,0,630,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
53,BRB,3,1,1990,1245,1420,RICH STALLCUP,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,50,6,0,0,0,0,5,0,0,0,0,0,83,0,0,0,0,445,0,0,0,18,67,0,12,0,0,165,0,0,0,0,7,0,0,0,0,0,,,,,,,,,,,,,
54,CGP,3,1,1990,1315,1445,JANIT THIESSEN & NORA BAINS,0,1,1,1,0,3,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,10,0,0,0,14,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
55,INV,3,1,1990,1345,1436,"NICOLE GALLAGHER, STEVE ENGEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
56,MMG,3,1,1990,1315,1500,ROB & ELLEN SABINE,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,49,1,0,0,0,0,0,20,0,0,0,0,17,2,37,0,0,40,0,9,0,0,44,0,0,0,0,0,0,0,0,0,0,1 KESTREL,,,,,,,,,,,,
57,TPT,3,1,1990,1315,1440,GRANT FLETCHER A.SPENCER,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,281,0,65,0,0,75,510,136,0,0,30,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,
58,WCD,3,1,1990,1320,1415,JULES EVENS,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0,96,0,0,0,0,344,1,0,0,0,145,705,355,200,0,1965,0,0,0,5,0,0,0,0,0,0,1800 B. BRANT & 2 BR. PELICAN,,,,,,,,,,,,
59,WHG,3,1,1990,1315,1325,"NICOLE GALLAGHER, STEVE ENGEL",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,22,0,0,0,0,50,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
60,WPT,3,1,1990,1330,1420,JOHN KELLY & J TEMKO,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,180,200,960,0,0,1150,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
61,BIV,4,16,1990,1700,1830,"SARA ALLEN, TERRY NORDBYE",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,20,0,0,0,8,1,0,118,0,0,0,0,249,2,22,0,0,0,1150,100,0,0,2350,0,0,0,251,0,0,0,0,0,0,,,,,,,,,,,,,
62,BRB,4,16,1990,1700,1800,"John Kelly, Linda Devere",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,503,0,1,0,17,82,400,25,0,0,485,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
63,CGP,4,16,1990,1700,1830,"Gay Bishop, Judy Temko",0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,3,0,2,0,0,7,8,26,8,0,0,0,38,0,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
64,INV,4,16,1990,1745,1815,"Nicole Gallagher, John Dillon",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
65,MMG,4,16,1990,1700,1830,"Janet Thiessen, Tanis Walters",0,1,3,0,0,1,1,1,0,0,0,0,0,0,1,23,0,0,0,0,19,1,0,0,1,0,0,3,0,0,0,0,11,3,35,0,0,0,0,49,0,0,0,0,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,
66,TPT,4,16,1990,1702,1810,"Grant Fletcher, Anne Spencer",0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,171,0,16,0,0,0,68,55,0,0,104,15,0,0,4,0,0,0,0,0,0,,,,,,,,,,,,,
67,WCD,4,16,1990,1730,1800,GEOFF GEUPEL PLUS SEE NOTES,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,86,0,0,1,0,884,17,56,0,0,0,400,45,0,0,302,0,0,0,11,0,0,0,0,0,0,"MARK DELGROSSO, MATHEW ROGERS, SHERIAN ALLEN",,,,,,,,,,,,
68,WHG,4,16,1990,1700,1720,"Nicole Gallagher, John Dillon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,18,0,0,0,0,0,80,290,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
69,WPT,4,16,1990,1710,1800,JULES EVENS,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,39,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,0,143,0,0,0,3,35,440,110,0,0,1020,0,40,4,0,0,0,0,0,0,0,,,,,,,,,,,,,
70,BIV,4,23,1990,930,1030,"DIANE WILLIAMS, TERRY NORDBYE",0,1,5,0,0,1,0,2,0,0,0,0,0,0,1,41,0,0,0,0,0,0,0,0,17,0,0,27,0,2,0,0,110,0,5,0,0,0,3500,32,0,0,2400,0,0,0,250,0,0,0,0,0,0,,,,,,,,,,,,,
71,BRB,4,23,1990,915,1015,FOREST TOMLINSON,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,4,2,0,0,0,0,0,10,0,0,0,0,155,0,0,0,0,40,15,22,0,0,155,0,0,0,0,0,0,0,0,0,0,25 SAND FLEW IN FROM N (DILLON BCH AREA) AT 0930,,,,,,,,,,,,
72,CGP,4,23,1990,915,1030,"GAY BISHOP, JUDY TEMKO",0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,3,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
73,INV,4,23,1990,940,1045,"TANIS WALTERS, LINDA DEVERE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,1,0,0,117,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
74,MMG,4,23,1990,915,1035,"NICOLE GALLAGHER,ELLEN SABINE",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,1,0,5,0,0,1,0,17,1,75,10,0,0,409,44,0,0,0,0,0,0,16,0,0,0,0,0,0,TURNSTONE SPECIES 18,,,,,,,,,,,,
75,TPT,4,23,1990,915,1025,"ANNE SPENCER, GRANT FLETCHER",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,99,0,0,0,0,0,37,89,0,0,12,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
76,WCD,4,23,1990,915,1000,JOHN KELLY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,3,0,0,52,0,0,2,0,546,7,39,2,0,0,1200,150,0,0,700,0,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,
77,WHG,4,23,1990,915,917,"TANIS, LINDA DEVERE",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
78,WPT,4,23,1990,915,1030,JANET THIESSEN,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,84,0,0,0,0,109,0,0,0,0,0,2000,0,0,0,675,0,78,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
79,BIV,4,26,1990,1150,1230,"DAVID,TERI NORDBYE,STEVE ENGEL",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,26,0,0,0,0,0,0,,,,,,,,,,,,,
80,BRB,4,26,1990,1200,1333,"GAY BISHOP, FLORA MACLISE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,1,0,0,0,0,0,48,0,0,1,0,366,0,0,0,0,9,0,11,0,0,69,0,0,0,0,0,0,0,0,0,0,1 FALCON SPECIES,,,,,,,,,,,,
81,CGP,4,26,1990,1200,1315,JANET THIESSEN,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,7,6,61,96,0,0,0,0,29,0,20,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
